185.157.215.135 - - [03/Apr/2020:17:38:37 +0000] "GET /favicon.ico HTTP/1.1" 200 1150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
185.157.215.135 - - [03/Apr/2020:17:38:59 +0000] "GET / HTTP/1.1" 200 123 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
185.157.215.135 - - [03/Apr/2020:17:56:18 +0000] "GET / HTTP/1.1" 200 123 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
185.157.215.135 - - [03/Apr/2020:17:56:19 +0000] "GET /favicon.ico HTTP/1.1" 200 1150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:17:56:33 +0000] "GET / HTTP/1.1" 200 123 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:17:56:33 +0000] "GET /favicon.ico HTTP/1.1" 200 1150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:20:15:18 +0000] "GET /.well-known/acme-challenge/jxKR4SQDY1cToAnBoZOT-P3y3L8sKhnOVrtirifdFhA HTTP/1.1" 500 1566 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
127.0.0.1 - - [03/Apr/2020:20:15:18 +0000] "GET /.well-known/acme-challenge/jxKR4SQDY1cToAnBoZOT-P3y3L8sKhnOVrtirifdFhA HTTP/1.1" 500 1566 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
127.0.0.1 - - [03/Apr/2020:20:15:18 +0000] "GET /.well-known/acme-challenge/jxKR4SQDY1cToAnBoZOT-P3y3L8sKhnOVrtirifdFhA HTTP/1.1" 500 1566 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
127.0.0.1 - - [03/Apr/2020:20:15:18 +0000] "GET /.well-known/acme-challenge/jxKR4SQDY1cToAnBoZOT-P3y3L8sKhnOVrtirifdFhA HTTP/1.1" 500 1566 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
127.0.0.1 - - [03/Apr/2020:20:15:38 +0000] "GET / HTTP/1.1" 200 123 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:20:15:38 +0000] "GET /favicon.ico HTTP/1.1" 200 1150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:20:15:49 +0000] "GET /foo.text HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:20:15:50 +0000] "GET /favicon.ico HTTP/1.1" 200 1150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:21:19:40 +0000] "GET /.well-known/acme-challenge/HZ72P5BzLjEF5cYos4InD22S2dhuZK0Iv_Yd6E7i6tE HTTP/1.1" 500 1566 "-" "getssl/2.21"
127.0.0.1 - - [03/Apr/2020:21:22:05 +0000] "GET /.well-known HTTP/1.1" 500 1507 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:21:23:20 +0000] "GET /.well-known HTTP/1.1" 500 1507 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:21:23:56 +0000] "GET /.well-known/acme-challenge/HZ72P5BzLjEF5cYos4InD22S2dhuZK0Iv_Yd6E7i6tE HTTP/1.1" 200 87 "-" "getssl/2.21"
127.0.0.1 - - [03/Apr/2020:21:23:57 +0000] "GET /.well-known/acme-challenge/HZ72P5BzLjEF5cYos4InD22S2dhuZK0Iv_Yd6E7i6tE HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
127.0.0.1 - - [03/Apr/2020:21:23:57 +0000] "GET /.well-known/acme-challenge/HZ72P5BzLjEF5cYos4InD22S2dhuZK0Iv_Yd6E7i6tE HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
127.0.0.1 - - [03/Apr/2020:21:23:57 +0000] "GET /.well-known/acme-challenge/HZ72P5BzLjEF5cYos4InD22S2dhuZK0Iv_Yd6E7i6tE HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
127.0.0.1 - - [03/Apr/2020:21:23:57 +0000] "GET /.well-known/acme-challenge/HZ72P5BzLjEF5cYos4InD22S2dhuZK0Iv_Yd6E7i6tE HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
127.0.0.1 - - [03/Apr/2020:21:29:27 +0000] "GET / HTTP/1.1" 400 261 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:21:29:32 +0000] "GET / HTTP/1.1" 400 261 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:21:29:32 +0000] "GET /favicon.ico HTTP/1.1" 400 261 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:21:30:40 +0000] "GET / HTTP/1.1" 400 261 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
185.157.215.135 - - [03/Apr/2020:21:30:51 +0000] "GET / HTTP/1.1" 200 123 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
185.157.215.135 - - [03/Apr/2020:21:30:52 +0000] "GET /favicon.ico HTTP/1.1" 200 1150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:21:31:05 +0000] "GET / HTTP/1.1" 400 261 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:21:46:43 +0000] "GET / HTTP/1.1" 200 123 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
127.0.0.1 - - [03/Apr/2020:21:49:55 +0000] "GET / HTTP/1.1" 200 123 "http://www.bing.com/search?q=amazon" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.2)"
127.0.0.1 - - [03/Apr/2020:21:52:59 +0000] "GET / HTTP/1.1" 200 123 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:21:52:59 +0000] "GET /favicon.ico HTTP/1.1" 200 1150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:21:54:08 +0000] "GET / HTTP/1.1" 200 123 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:21:54:08 +0000] "GET /favicon.ico HTTP/1.1" 200 1150 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:21:55:44 +0000] "GET / HTTP/1.1" 200 123 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [03/Apr/2020:23:16:20 +0000] "GET / HTTP/1.1" 500 4043 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:23:16:21 +0000] "GET /favicon.ico HTTP/1.1" 200 1150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:23:24:53 +0000] "GET / HTTP/1.1" 200 1026 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:23:24:53 +0000] "GET /static/refine.css HTTP/1.1" 200 9731 "http://localhost:6563/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:23:24:53 +0000] "GET /favicon.ico HTTP/1.1" 200 1150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:23:25:27 +0000] "GET /full%20thumbnail%20path HTTP/1.1" 500 1519 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:23:25:27 +0000] "GET /favicon.ico HTTP/1.1" 200 1150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:23:34:45 +0000] "GET / HTTP/1.1" 200 1095 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:23:34:45 +0000] "GET /static/refine.css HTTP/1.1" 200 9731 "http://localhost:6563/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:23:34:45 +0000] "GET /favicon.ico HTTP/1.1" 200 2182 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [03/Apr/2020:23:34:45 +0000] "GET /static/favicon-32.png HTTP/1.1" 200 2182 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:41:22 +0000] "GET / HTTP/1.1" 200 901 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:41:23 +0000] "GET /static/refine.css HTTP/1.1" 200 9731 "http://localhost:6563/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:41:23 +0000] "GET /static/favicon-32.png HTTP/1.1" 200 2182 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:42:29 +0000] "GET / HTTP/1.1" 200 873 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:42:29 +0000] "GET /static/refine.css HTTP/1.1" 200 9731 "http://localhost:6563/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:43:10 +0000] "GET / HTTP/1.1" 200 873 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:43:10 +0000] "GET /static/refine.css HTTP/1.1" 304 0 "http://localhost:6563/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:44:36 +0000] "GET / HTTP/1.1" 200 906 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:44:37 +0000] "GET /static/refine.css HTTP/1.1" 304 0 "http://localhost:6563/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:45:22 +0000] "GET / HTTP/1.1" 200 944 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:45:23 +0000] "GET /static/refine.css HTTP/1.1" 304 0 "http://localhost:6563/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:45:36 +0000] "GET / HTTP/1.1" 200 944 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:45:37 +0000] "GET /static/refine.css HTTP/1.1" 304 0 "http://localhost:6563/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:47:25 +0000] "GET / HTTP/1.1" 200 884 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:47:25 +0000] "GET /static/refine.css HTTP/1.1" 304 0 "http://localhost:6563/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:48:49 +0000] "GET / HTTP/1.1" 200 909 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:48:49 +0000] "GET /static/refine.css HTTP/1.1" 304 0 "http://localhost:6563/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:57:31 +0000] "GET / HTTP/1.1" 200 974 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
127.0.0.1 - - [04/Apr/2020:13:57:31 +0000] "GET /static/refine.css HTTP/1.1" 304 0 "http://localhost:6563/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0"
